concentration_percent,ratio_mean,ratio_std,predicted_concentration_percent,residual_percent
2.0,1.0117602730492732,0.0,3.399885887026443,1.3998858870264428
4.0,1.0166165009692054,0.0,4.116154801822802,0.1161548018228018
6.0,1.030335468933554,0.0,6.139632788846001,0.13963278884600072
8.0,1.040117654222711,0.0,7.5824553574991285,-0.41754464250087153
10.0,1.1044466450967596,0.0,17.070654272994886,7.0706542729948865
12.0,1.062485890124309,0.0,10.881656366864178,-1.1183436331358223
14.0,1.0743073333486954,0.0,12.625259107358374,-1.3747408926416256
16.0,1.0858437356247213,0.0,14.32681975795873,-1.6731802420412691
18.0,1.0967204814245726,0.0,15.931084433963548,-2.068915566036452
20.0,1.1102484923264757,0.0,17.926397225665255,-2.073602774334745
